"Sample","Population","Population.Description","Gender"
"HG00096","GBR","British in England and Scotland","male"
"HG00097","GBR","British in England and Scotland","female"
"HG00099","GBR","British in England and Scotland","female"
"HG00100","GBR","British in England and Scotland","female"
"HG00101","GBR","British in England and Scotland","male"
"HG00102","GBR","British in England and Scotland","female"
"HG00103","GBR","British in England and Scotland","male"
"HG00104","GBR","British in England and Scotland","female"
"HG00105","GBR","British in England and Scotland","male"
"HG00106","GBR","British in England and Scotland","female"
"HG00107","GBR","British in England and Scotland","male"
"HG00108","GBR","British in England and Scotland","male"
"HG00109","GBR","British in England and Scotland","male"
"HG00110","GBR","British in England and Scotland","female"
"HG00111","GBR","British in England and Scotland","female"
"HG00112","GBR","British in England and Scotland","male"
"HG00113","GBR","British in England and Scotland","male"
"HG00114","GBR","British in England and Scotland","male"
"HG00115","GBR","British in England and Scotland","male"
"HG00116","GBR","British in England and Scotland","male"
"HG00117","GBR","British in England and Scotland","male"
"HG00118","GBR","British in England and Scotland","female"
"HG00119","GBR","British in England and Scotland","male"
"HG00120","GBR","British in England and Scotland","female"
"HG00121","GBR","British in England and Scotland","female"
"HG00122","GBR","British in England and Scotland","female"
"HG00123","GBR","British in England and Scotland","female"
"HG00125","GBR","British in England and Scotland","female"
"HG00126","GBR","British in England and Scotland","male"
"HG00127","GBR","British in England and Scotland","female"
"HG00128","GBR","British in England and Scotland","female"
"HG00129","GBR","British in England and Scotland","male"
"HG00130","GBR","British in England and Scotland","female"
"HG00131","GBR","British in England and Scotland","male"
"HG00132","GBR","British in England and Scotland","female"
"HG00133","GBR","British in England and Scotland","female"
"HG00134","GBR","British in England and Scotland","female"
"HG00135","GBR","British in England and Scotland","female"
"HG00136","GBR","British in England and Scotland","male"
"HG00137","GBR","British in England and Scotland","female"
"HG00138","GBR","British in England and Scotland","male"
"HG00139","GBR","British in England and Scotland","male"
"HG00140","GBR","British in England and Scotland","male"
"HG00141","GBR","British in England and Scotland","male"
"HG00142","GBR","British in England and Scotland","male"
"HG00143","GBR","British in England and Scotland","male"
"HG00145","GBR","British in England and Scotland","male"
"HG00146","GBR","British in England and Scotland","female"
"HG00148","GBR","British in England and Scotland","male"
"HG00149","GBR","British in England and Scotland","male"
"HG00150","GBR","British in England and Scotland","female"
"HG00151","GBR","British in England and Scotland","male"
"HG00152","GBR","British in England and Scotland","male"
"HG00154","GBR","British in England and Scotland","female"
"HG00155","GBR","British in England and Scotland","male"
"HG00156","GBR","British in England and Scotland","male"
"HG00157","GBR","British in England and Scotland","male"
"HG00158","GBR","British in England and Scotland","female"
"HG00159","GBR","British in England and Scotland","male"
"HG00160","GBR","British in England and Scotland","male"
"HG00171","FIN","Finnish in Finland","female"
"HG00173","FIN","Finnish in Finland","female"
"HG00174","FIN","Finnish in Finland","female"
"HG00176","FIN","Finnish in Finland","female"
"HG00177","FIN","Finnish in Finland","female"
"HG00178","FIN","Finnish in Finland","female"
"HG00179","FIN","Finnish in Finland","female"
"HG00180","FIN","Finnish in Finland","female"
"HG00181","FIN","Finnish in Finland","male"
"HG00182","FIN","Finnish in Finland","male"
"HG00183","FIN","Finnish in Finland","male"
"HG00185","FIN","Finnish in Finland","male"
"HG00186","FIN","Finnish in Finland","male"
"HG00187","FIN","Finnish in Finland","male"
"HG00188","FIN","Finnish in Finland","male"
"HG00189","FIN","Finnish in Finland","male"
"HG00190","FIN","Finnish in Finland","male"
"HG00231","GBR","British in England and Scotland","female"
"HG00232","GBR","British in England and Scotland","female"
"HG00233","GBR","British in England and Scotland","female"
"HG00234","GBR","British in England and Scotland","male"
"HG00235","GBR","British in England and Scotland","female"
"HG00236","GBR","British in England and Scotland","female"
"HG00237","GBR","British in England and Scotland","female"
"HG00238","GBR","British in England and Scotland","female"
"HG00239","GBR","British in England and Scotland","female"
"HG00240","GBR","British in England and Scotland","female"
"HG00242","GBR","British in England and Scotland","male"
"HG00243","GBR","British in England and Scotland","male"
"HG00244","GBR","British in England and Scotland","male"
"HG00245","GBR","British in England and Scotland","female"
"HG00246","GBR","British in England and Scotland","male"
"HG00249","GBR","British in England and Scotland","female"
"HG00250","GBR","British in England and Scotland","female"
"HG00251","GBR","British in England and Scotland","male"
"HG00252","GBR","British in England and Scotland","male"
"HG00253","GBR","British in England and Scotland","female"
"HG00254","GBR","British in England and Scotland","female"
"HG00255","GBR","British in England and Scotland","female"
"HG00256","GBR","British in England and Scotland","male"
"HG00257","GBR","British in England and Scotland","female"
"HG00258","GBR","British in England and Scotland","female"
"HG00259","GBR","British in England and Scotland","female"
"HG00260","GBR","British in England and Scotland","male"
"HG00261","GBR","British in England and Scotland","female"
"HG00262","GBR","British in England and Scotland","female"
"HG00263","GBR","British in England and Scotland","female"
"HG00264","GBR","British in England and Scotland","male"
"HG00265","GBR","British in England and Scotland","male"
"HG00266","FIN","Finnish in Finland","female"
"HG00267","FIN","Finnish in Finland","male"
"HG00268","FIN","Finnish in Finland","female"
"HG00269","FIN","Finnish in Finland","female"
"HG00270","FIN","Finnish in Finland","female"
"HG00271","FIN","Finnish in Finland","male"
"HG00272","FIN","Finnish in Finland","female"
"HG00273","FIN","Finnish in Finland","male"
"HG00274","FIN","Finnish in Finland","female"
"HG00275","FIN","Finnish in Finland","female"
"HG00276","FIN","Finnish in Finland","female"
"HG00277","FIN","Finnish in Finland","male"
"HG00278","FIN","Finnish in Finland","male"
"HG00280","FIN","Finnish in Finland","male"
"HG00281","FIN","Finnish in Finland","female"
"HG00282","FIN","Finnish in Finland","female"
"HG00284","FIN","Finnish in Finland","male"
"HG00285","FIN","Finnish in Finland","female"
"HG00288","FIN","Finnish in Finland","female"
"HG00290","FIN","Finnish in Finland","male"
"HG00302","FIN","Finnish in Finland","female"
"HG00303","FIN","Finnish in Finland","male"
"HG00304","FIN","Finnish in Finland","female"
"HG00306","FIN","Finnish in Finland","female"
"HG00308","FIN","Finnish in Finland","male"
"HG00309","FIN","Finnish in Finland","female"
"HG00310","FIN","Finnish in Finland","male"
"HG00311","FIN","Finnish in Finland","male"
"HG00312","FIN","Finnish in Finland","male"
"HG00313","FIN","Finnish in Finland","female"
"HG00315","FIN","Finnish in Finland","female"
"HG00318","FIN","Finnish in Finland","female"
"HG00319","FIN","Finnish in Finland","female"
"HG00320","FIN","Finnish in Finland","female"
"HG00321","FIN","Finnish in Finland","male"
"HG00323","FIN","Finnish in Finland","female"
"HG00324","FIN","Finnish in Finland","female"
"HG00325","FIN","Finnish in Finland","male"
"HG00326","FIN","Finnish in Finland","female"
"HG00327","FIN","Finnish in Finland","female"
"HG00328","FIN","Finnish in Finland","female"
"HG00329","FIN","Finnish in Finland","male"
"HG00330","FIN","Finnish in Finland","female"
"HG00331","FIN","Finnish in Finland","female"
"HG00332","FIN","Finnish in Finland","female"
"HG00334","FIN","Finnish in Finland","female"
"HG00335","FIN","Finnish in Finland","male"
"HG00336","FIN","Finnish in Finland","male"
"HG00337","FIN","Finnish in Finland","female"
"HG00338","FIN","Finnish in Finland","male"
"HG00339","FIN","Finnish in Finland","female"
"HG00341","FIN","Finnish in Finland","male"
"HG00342","FIN","Finnish in Finland","male"
"HG00343","FIN","Finnish in Finland","female"
"HG00344","FIN","Finnish in Finland","female"
"HG00345","FIN","Finnish in Finland","male"
"HG00346","FIN","Finnish in Finland","female"
"HG00349","FIN","Finnish in Finland","female"
"HG00350","FIN","Finnish in Finland","female"
"HG00351","FIN","Finnish in Finland","male"
"HG00353","FIN","Finnish in Finland","female"
"HG00355","FIN","Finnish in Finland","female"
"HG00356","FIN","Finnish in Finland","female"
"HG00357","FIN","Finnish in Finland","female"
"HG00358","FIN","Finnish in Finland","male"
"HG00359","FIN","Finnish in Finland","female"
"HG00360","FIN","Finnish in Finland","male"
"HG00361","FIN","Finnish in Finland","female"
"HG00362","FIN","Finnish in Finland","female"
"HG00364","FIN","Finnish in Finland","female"
"HG00365","FIN","Finnish in Finland","female"
"HG00366","FIN","Finnish in Finland","male"
"HG00367","FIN","Finnish in Finland","female"
"HG00368","FIN","Finnish in Finland","female"
"HG00369","FIN","Finnish in Finland","male"
"HG00371","FIN","Finnish in Finland","male"
"HG00372","FIN","Finnish in Finland","male"
"HG00373","FIN","Finnish in Finland","female"
"HG00375","FIN","Finnish in Finland","male"
"HG00376","FIN","Finnish in Finland","female"
"HG00377","FIN","Finnish in Finland","female"
"HG00378","FIN","Finnish in Finland","female"
"HG00379","FIN","Finnish in Finland","female"
"HG00380","FIN","Finnish in Finland","female"
"HG00381","FIN","Finnish in Finland","female"
"HG00382","FIN","Finnish in Finland","male"
"HG00383","FIN","Finnish in Finland","female"
"HG00384","FIN","Finnish in Finland","female"
"HG00403","CHS","Southern Han Chinese, China","male"
"HG00404","CHS","Southern Han Chinese, China","female"
"HG00406","CHS","Southern Han Chinese, China","male"
"HG00407","CHS","Southern Han Chinese, China","female"
"HG00409","CHS","Southern Han Chinese, China","male"
"HG00410","CHS","Southern Han Chinese, China","female"
"HG00419","CHS","Southern Han Chinese, China","female"
"HG00421","CHS","Southern Han Chinese, China","male"
"HG00422","CHS","Southern Han Chinese, China","female"
"HG00428","CHS","Southern Han Chinese, China","female"
"HG00436","CHS","Southern Han Chinese, China","male"
"HG00437","CHS","Southern Han Chinese, China","female"
"HG00442","CHS","Southern Han Chinese, China","male"
"HG00443","CHS","Southern Han Chinese, China","female"
"HG00445","CHS","Southern Han Chinese, China","male"
"HG00446","CHS","Southern Han Chinese, China","female"
"HG00448","CHS","Southern Han Chinese, China","male"
"HG00449","CHS","Southern Han Chinese, China","female"
"HG00451","CHS","Southern Han Chinese, China","male"
"HG00452","CHS","Southern Han Chinese, China","female"
"HG00457","CHS","Southern Han Chinese, China","male"
"HG00458","CHS","Southern Han Chinese, China","female"
"HG00463","CHS","Southern Han Chinese, China","male"
"HG00464","CHS","Southern Han Chinese, China","female"
"HG00472","CHS","Southern Han Chinese, China","male"
"HG00473","CHS","Southern Han Chinese, China","female"
"HG00475","CHS","Southern Han Chinese, China","male"
"HG00476","CHS","Southern Han Chinese, China","female"
"HG00478","CHS","Southern Han Chinese, China","male"
"HG00479","CHS","Southern Han Chinese, China","female"
"HG00500","CHS","Southern Han Chinese, China","male"
"HG00513","CHS","Southern Han Chinese, China","female"
"HG00524","CHS","Southern Han Chinese, China","male"
"HG00525","CHS","Southern Han Chinese, China","female"
"HG00530","CHS","Southern Han Chinese, China","male"
"HG00531","CHS","Southern Han Chinese, China","female"
"HG00533","CHS","Southern Han Chinese, China","male"
"HG00534","CHS","Southern Han Chinese, China","female"
"HG00536","CHS","Southern Han Chinese, China","male"
"HG00537","CHS","Southern Han Chinese, China","female"
"HG00542","CHS","Southern Han Chinese, China","male"
"HG00543","CHS","Southern Han Chinese, China","female"
"HG00551","PUR","Puerto Rican in Puerto Rico","female"
"HG00553","PUR","Puerto Rican in Puerto Rico","male"
"HG00554","PUR","Puerto Rican in Puerto Rico","female"
"HG00556","CHS","Southern Han Chinese, China","male"
"HG00557","CHS","Southern Han Chinese, China","female"
"HG00559","CHS","Southern Han Chinese, China","male"
"HG00560","CHS","Southern Han Chinese, China","female"
"HG00565","CHS","Southern Han Chinese, China","male"
"HG00566","CHS","Southern Han Chinese, China","female"
"HG00580","CHS","Southern Han Chinese, China","male"
"HG00581","CHS","Southern Han Chinese, China","female"
"HG00583","CHS","Southern Han Chinese, China","male"
"HG00584","CHS","Southern Han Chinese, China","female"
"HG00589","CHS","Southern Han Chinese, China","male"
"HG00590","CHS","Southern Han Chinese, China","female"
"HG00592","CHS","Southern Han Chinese, China","male"
"HG00593","CHS","Southern Han Chinese, China","female"
"HG00595","CHS","Southern Han Chinese, China","male"
"HG00596","CHS","Southern Han Chinese, China","female"
"HG00598","CHS","Southern Han Chinese, China","male"
"HG00599","CHS","Southern Han Chinese, China","female"
"HG00607","CHS","Southern Han Chinese, China","male"
"HG00608","CHS","Southern Han Chinese, China","female"
"HG00610","CHS","Southern Han Chinese, China","male"
"HG00611","CHS","Southern Han Chinese, China","female"
"HG00613","CHS","Southern Han Chinese, China","male"
"HG00614","CHS","Southern Han Chinese, China","female"
"HG00619","CHS","Southern Han Chinese, China","male"
"HG00620","CHS","Southern Han Chinese, China","female"
"HG00622","CHS","Southern Han Chinese, China","male"
"HG00623","CHS","Southern Han Chinese, China","female"
"HG00625","CHS","Southern Han Chinese, China","male"
"HG00626","CHS","Southern Han Chinese, China","female"
"HG00628","CHS","Southern Han Chinese, China","male"
"HG00629","CHS","Southern Han Chinese, China","female"
"HG00631","CHS","Southern Han Chinese, China","male"
"HG00632","CHS","Southern Han Chinese, China","female"
"HG00634","CHS","Southern Han Chinese, China","male"
"HG00637","PUR","Puerto Rican in Puerto Rico","male"
"HG00638","PUR","Puerto Rican in Puerto Rico","female"
"HG00640","PUR","Puerto Rican in Puerto Rico","male"
"HG00641","PUR","Puerto Rican in Puerto Rico","female"
"HG00650","CHS","Southern Han Chinese, China","male"
"HG00651","CHS","Southern Han Chinese, China","female"
"HG00653","CHS","Southern Han Chinese, China","male"
"HG00654","CHS","Southern Han Chinese, China","female"
"HG00656","CHS","Southern Han Chinese, China","male"
"HG00657","CHS","Southern Han Chinese, China","female"
"HG00662","CHS","Southern Han Chinese, China","male"
"HG00663","CHS","Southern Han Chinese, China","female"
"HG00671","CHS","Southern Han Chinese, China","male"
"HG00672","CHS","Southern Han Chinese, China","female"
"HG00674","CHS","Southern Han Chinese, China","male"
"HG00675","CHS","Southern Han Chinese, China","female"
"HG00683","CHS","Southern Han Chinese, China","male"
"HG00684","CHS","Southern Han Chinese, China","female"
"HG00689","CHS","Southern Han Chinese, China","male"
"HG00690","CHS","Southern Han Chinese, China","female"
"HG00692","CHS","Southern Han Chinese, China","male"
"HG00693","CHS","Southern Han Chinese, China","female"
"HG00698","CHS","Southern Han Chinese, China","male"
"HG00699","CHS","Southern Han Chinese, China","female"
"HG00701","CHS","Southern Han Chinese, China","male"
"HG00704","CHS","Southern Han Chinese, China","male"
"HG00705","CHS","Southern Han Chinese, China","female"
"HG00707","CHS","Southern Han Chinese, China","male"
"HG00708","CHS","Southern Han Chinese, China","female"
"HG00717","CHS","Southern Han Chinese, China","female"
"HG00728","CHS","Southern Han Chinese, China","male"
"HG00729","CHS","Southern Han Chinese, China","female"
"HG00731","PUR","Puerto Rican in Puerto Rico","male"
"HG00732","PUR","Puerto Rican in Puerto Rico","female"
"HG00734","PUR","Puerto Rican in Puerto Rico","female"
"HG00736","PUR","Puerto Rican in Puerto Rico","male"
"HG00737","PUR","Puerto Rican in Puerto Rico","female"
"HG00739","PUR","Puerto Rican in Puerto Rico","male"
"HG00740","PUR","Puerto Rican in Puerto Rico","female"
"HG00742","PUR","Puerto Rican in Puerto Rico","male"
"HG00743","PUR","Puerto Rican in Puerto Rico","female"
"HG00759","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00766","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00844","CDX","Chinese Dai in Xishuangbanna, China","male"
"HG00851","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00864","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00867","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00879","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00881","CDX","Chinese Dai in Xishuangbanna, China","male"
"HG00956","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00978","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG00982","CDX","Chinese Dai in Xishuangbanna, China","male"
"HG01028","CDX","Chinese Dai in Xishuangbanna, China","male"
"HG01029","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG01031","CDX","Chinese Dai in Xishuangbanna, China","male"
"HG01046","CDX","Chinese Dai in Xishuangbanna, China","female"
"HG01047","PUR","Puerto Rican in Puerto Rico","male"
"HG01048","PUR","Puerto Rican in Puerto Rico","male"
"HG01049","PUR","Puerto Rican in Puerto Rico","female"
"HG01051","PUR","Puerto Rican in Puerto Rico","male"
"HG01052","PUR","Puerto Rican in Puerto Rico","female"
"HG01054","PUR","Puerto Rican in Puerto Rico","male"
"HG01055","PUR","Puerto Rican in Puerto Rico","female"
"HG01058","PUR","Puerto Rican in Puerto Rico","female"
"HG01060","PUR","Puerto Rican in Puerto Rico","male"
"HG01061","PUR","Puerto Rican in Puerto Rico","female"
"HG01063","PUR","Puerto Rican in Puerto Rico","male"
"HG01064","PUR","Puerto Rican in Puerto Rico","female"
"HG01066","PUR","Puerto Rican in Puerto Rico","male"
"HG01067","PUR","Puerto Rican in Puerto Rico","female"
"HG01069","PUR","Puerto Rican in Puerto Rico","male"
"HG01070","PUR","Puerto Rican in Puerto Rico","female"
"HG01072","PUR","Puerto Rican in Puerto Rico","male"
"HG01073","PUR","Puerto Rican in Puerto Rico","female"
"HG01075","PUR","Puerto Rican in Puerto Rico","male"
"HG01077","PUR","Puerto Rican in Puerto Rico","female"
"HG01079","PUR","Puerto Rican in Puerto Rico","male"
"HG01080","PUR","Puerto Rican in Puerto Rico","female"
"HG01082","PUR","Puerto Rican in Puerto Rico","male"
"HG01083","PUR","Puerto Rican in Puerto Rico","female"
"HG01085","PUR","Puerto Rican in Puerto Rico","male"
"HG01086","PUR","Puerto Rican in Puerto Rico","female"
"HG01088","PUR","Puerto Rican in Puerto Rico","male"
"HG01089","PUR","Puerto Rican in Puerto Rico","female"
"HG01092","PUR","Puerto Rican in Puerto Rico","female"
"HG01094","PUR","Puerto Rican in Puerto Rico","male"
"HG01095","PUR","Puerto Rican in Puerto Rico","female"
"HG01097","PUR","Puerto Rican in Puerto Rico","male"
"HG01098","PUR","Puerto Rican in Puerto Rico","female"
"HG01101","PUR","Puerto Rican in Puerto Rico","male"
"HG01102","PUR","Puerto Rican in Puerto Rico","female"
"HG01104","PUR","Puerto Rican in Puerto Rico","male"
"HG01105","PUR","Puerto Rican in Puerto Rico","female"
"HG01107","PUR","Puerto Rican in Puerto Rico","male"
"HG01108","PUR","Puerto Rican in Puerto Rico","female"
"HG01110","PUR","Puerto Rican in Puerto Rico","male"
"HG01111","PUR","Puerto Rican in Puerto Rico","female"
"HG01112","CLM","Colombian in Medellin, Colombia","male"
"HG01113","CLM","Colombian in Medellin, Colombia","female"
"HG01119","CLM","Colombian in Medellin, Colombia","female"
"HG01121","CLM","Colombian in Medellin, Colombia","male"
"HG01122","CLM","Colombian in Medellin, Colombia","female"
"HG01124","CLM","Colombian in Medellin, Colombia","male"
"HG01125","CLM","Colombian in Medellin, Colombia","female"
"HG01130","CLM","Colombian in Medellin, Colombia","male"
"HG01131","CLM","Colombian in Medellin, Colombia","female"
"HG01133","CLM","Colombian in Medellin, Colombia","male"
"HG01134","CLM","Colombian in Medellin, Colombia","female"
"HG01136","CLM","Colombian in Medellin, Colombia","male"
"HG01137","CLM","Colombian in Medellin, Colombia","female"
"HG01139","CLM","Colombian in Medellin, Colombia","male"
"HG01140","CLM","Colombian in Medellin, Colombia","female"
"HG01142","CLM","Colombian in Medellin, Colombia","male"
"HG01148","CLM","Colombian in Medellin, Colombia","male"
"HG01149","CLM","Colombian in Medellin, Colombia","female"
"HG01161","PUR","Puerto Rican in Puerto Rico","male"
"HG01162","PUR","Puerto Rican in Puerto Rico","female"
"HG01164","PUR","Puerto Rican in Puerto Rico","male"
"HG01167","PUR","Puerto Rican in Puerto Rico","male"
"HG01168","PUR","Puerto Rican in Puerto Rico","female"
"HG01170","PUR","Puerto Rican in Puerto Rico","male"
"HG01171","PUR","Puerto Rican in Puerto Rico","female"
"HG01173","PUR","Puerto Rican in Puerto Rico","male"
"HG01174","PUR","Puerto Rican in Puerto Rico","female"
"HG01176","PUR","Puerto Rican in Puerto Rico","male"
"HG01177","PUR","Puerto Rican in Puerto Rico","female"
"HG01182","PUR","Puerto Rican in Puerto Rico","male"
"HG01183","PUR","Puerto Rican in Puerto Rico","female"
"HG01187","PUR","Puerto Rican in Puerto Rico","male"
"HG01188","PUR","Puerto Rican in Puerto Rico","female"
"HG01190","PUR","Puerto Rican in Puerto Rico","male"
"HG01191","PUR","Puerto Rican in Puerto Rico","female"
"HG01197","PUR","Puerto Rican in Puerto Rico","male"
"HG01198","PUR","Puerto Rican in Puerto Rico","female"
"HG01200","PUR","Puerto Rican in Puerto Rico","male"
"HG01204","PUR","Puerto Rican in Puerto Rico","male"
"HG01205","PUR","Puerto Rican in Puerto Rico","female"
"HG01241","PUR","Puerto Rican in Puerto Rico","male"
"HG01242","PUR","Puerto Rican in Puerto Rico","female"
"HG01247","PUR","Puerto Rican in Puerto Rico","male"
"HG01248","PUR","Puerto Rican in Puerto Rico","female"
"HG01250","CLM","Colombian in Medellin, Colombia","male"
"HG01251","CLM","Colombian in Medellin, Colombia","female"
"HG01253","CLM","Colombian in Medellin, Colombia","male"
"HG01254","CLM","Colombian in Medellin, Colombia","female"
"HG01256","CLM","Colombian in Medellin, Colombia","male"
"HG01257","CLM","Colombian in Medellin, Colombia","female"
"HG01259","CLM","Colombian in Medellin, Colombia","male"
"HG01260","CLM","Colombian in Medellin, Colombia","female"
"HG01269","CLM","Colombian in Medellin, Colombia","female"
"HG01271","CLM","Colombian in Medellin, Colombia","male"
"HG01272","CLM","Colombian in Medellin, Colombia","female"
"HG01275","CLM","Colombian in Medellin, Colombia","female"
"HG01277","CLM","Colombian in Medellin, Colombia","male"
"HG01280","CLM","Colombian in Medellin, Colombia","male"
"HG01281","CLM","Colombian in Medellin, Colombia","female"
"HG01284","CLM","Colombian in Medellin, Colombia","female"
"HG01286","PUR","Puerto Rican in Puerto Rico","male"
"HG01302","PUR","Puerto Rican in Puerto Rico","male"
"HG01303","PUR","Puerto Rican in Puerto Rico","female"
"HG01305","PUR","Puerto Rican in Puerto Rico","male"
"HG01308","PUR","Puerto Rican in Puerto Rico","male"
"HG01311","PUR","Puerto Rican in Puerto Rico","male"
"HG01312","PUR","Puerto Rican in Puerto Rico","female"
"HG01323","PUR","Puerto Rican in Puerto Rico","female"
"HG01325","PUR","Puerto Rican in Puerto Rico","male"
"HG01326","PUR","Puerto Rican in Puerto Rico","female"
"HG01334","GBR","British in England and Scotland","male"
"HG01341","CLM","Colombian in Medellin, Colombia","male"
"HG01342","CLM","Colombian in Medellin, Colombia","female"
"HG01344","CLM","Colombian in Medellin, Colombia","male"
"HG01345","CLM","Colombian in Medellin, Colombia","female"
"HG01348","CLM","Colombian in Medellin, Colombia","female"
"HG01350","CLM","Colombian in Medellin, Colombia","male"
"HG01351","CLM","Colombian in Medellin, Colombia","female"
"HG01353","CLM","Colombian in Medellin, Colombia","male"
"HG01354","CLM","Colombian in Medellin, Colombia","female"
"HG01356","CLM","Colombian in Medellin, Colombia","male"
"HG01357","CLM","Colombian in Medellin, Colombia","female"
"HG01359","CLM","Colombian in Medellin, Colombia","male"
"HG01360","CLM","Colombian in Medellin, Colombia","female"
"HG01362","CLM","Colombian in Medellin, Colombia","male"
"HG01363","CLM","Colombian in Medellin, Colombia","female"
"HG01365","CLM","Colombian in Medellin, Colombia","male"
"HG01366","CLM","Colombian in Medellin, Colombia","female"
"HG01369","CLM","Colombian in Medellin, Colombia","female"
"HG01372","CLM","Colombian in Medellin, Colombia","female"
"HG01374","CLM","Colombian in Medellin, Colombia","male"
"HG01375","CLM","Colombian in Medellin, Colombia","female"
"HG01377","CLM","Colombian in Medellin, Colombia","male"
"HG01378","CLM","Colombian in Medellin, Colombia","female"
"HG01383","CLM","Colombian in Medellin, Colombia","male"
"HG01384","CLM","Colombian in Medellin, Colombia","female"
"HG01389","CLM","Colombian in Medellin, Colombia","male"
"HG01390","CLM","Colombian in Medellin, Colombia","female"
"HG01392","PUR","Puerto Rican in Puerto Rico","male"
"HG01393","PUR","Puerto Rican in Puerto Rico","female"
"HG01395","PUR","Puerto Rican in Puerto Rico","male"
"HG01396","PUR","Puerto Rican in Puerto Rico","female"
"HG01398","PUR","Puerto Rican in Puerto Rico","male"
"HG01402","PUR","Puerto Rican in Puerto Rico","male"
"HG01403","PUR","Puerto Rican in Puerto Rico","female"
"HG01405","PUR","Puerto Rican in Puerto Rico","male"
"HG01412","PUR","Puerto Rican in Puerto Rico","male"
"HG01413","PUR","Puerto Rican in Puerto Rico","male"
"HG01414","PUR","Puerto Rican in Puerto Rico","female"
"HG01431","CLM","Colombian in Medellin, Colombia","male"
"HG01432","CLM","Colombian in Medellin, Colombia","female"
"HG01435","CLM","Colombian in Medellin, Colombia","female"
"HG01437","CLM","Colombian in Medellin, Colombia","male"
"HG01438","CLM","Colombian in Medellin, Colombia","female"
"HG01440","CLM","Colombian in Medellin, Colombia","male"
"HG01441","CLM","Colombian in Medellin, Colombia","female"
"HG01443","CLM","Colombian in Medellin, Colombia","male"
"HG01444","CLM","Colombian in Medellin, Colombia","female"
"HG01447","CLM","Colombian in Medellin, Colombia","female"
"HG01455","CLM","Colombian in Medellin, Colombia","male"
"HG01456","CLM","Colombian in Medellin, Colombia","female"
"HG01459","CLM","Colombian in Medellin, Colombia","female"
"HG01461","CLM","Colombian in Medellin, Colombia","male"
"HG01462","CLM","Colombian in Medellin, Colombia","female"
"HG01464","CLM","Colombian in Medellin, Colombia","male"
"HG01465","CLM","Colombian in Medellin, Colombia","female"
"HG01468","CLM","Colombian in Medellin, Colombia","female"
"HG01471","CLM","Colombian in Medellin, Colombia","female"
"HG01474","CLM","Colombian in Medellin, Colombia","female"
"HG01479","CLM","Colombian in Medellin, Colombia","male"
"HG01485","CLM","Colombian in Medellin, Colombia","male"
"HG01486","CLM","Colombian in Medellin, Colombia","female"
"HG01488","CLM","Colombian in Medellin, Colombia","male"
"HG01489","CLM","Colombian in Medellin, Colombia","female"
"HG01491","CLM","Colombian in Medellin, Colombia","male"
"HG01492","CLM","Colombian in Medellin, Colombia","female"
"HG01494","CLM","Colombian in Medellin, Colombia","male"
"HG01495","CLM","Colombian in Medellin, Colombia","female"
"HG01497","CLM","Colombian in Medellin, Colombia","male"
"HG01498","CLM","Colombian in Medellin, Colombia","female"
"HG01500","IBS","Iberian populations in Spain","male"
"HG01501","IBS","Iberian populations in Spain","female"
"HG01503","IBS","Iberian populations in Spain","male"
"HG01504","IBS","Iberian populations in Spain","female"
"HG01506","IBS","Iberian populations in Spain","male"
"HG01507","IBS","Iberian populations in Spain","female"
"HG01509","IBS","Iberian populations in Spain","male"
"HG01510","IBS","Iberian populations in Spain","female"
"HG01512","IBS","Iberian populations in Spain","male"
"HG01513","IBS","Iberian populations in Spain","female"
"HG01515","IBS","Iberian populations in Spain","male"
"HG01516","IBS","Iberian populations in Spain","female"
"HG01518","IBS","Iberian populations in Spain","male"
"HG01519","IBS","Iberian populations in Spain","female"
"HG01521","IBS","Iberian populations in Spain","male"
"HG01522","IBS","Iberian populations in Spain","female"
"HG01524","IBS","Iberian populations in Spain","male"
"HG01525","IBS","Iberian populations in Spain","female"
"HG01527","IBS","Iberian populations in Spain","male"
"HG01528","IBS","Iberian populations in Spain","female"
"HG01530","IBS","Iberian populations in Spain","male"
"HG01531","IBS","Iberian populations in Spain","female"
"HG01536","IBS","Iberian populations in Spain","male"
"HG01537","IBS","Iberian populations in Spain","female"
"HG01550","CLM","Colombian in Medellin, Colombia","male"
"HG01551","CLM","Colombian in Medellin, Colombia","female"
"HG01556","CLM","Colombian in Medellin, Colombia","male"
"HG01565","PEL","Peruvian in Lima, Peru","male"
"HG01566","PEL","Peruvian in Lima, Peru","female"
"HG01571","PEL","Peruvian in Lima, Peru","male"
"HG01572","PEL","Peruvian in Lima, Peru","female"
"HG01577","PEL","Peruvian in Lima, Peru","male"
"HG01578","PEL","Peruvian in Lima, Peru","female"
"HG01583","PJL","Punjabi in Lahore,Pakistan","male"
"HG01586","PJL","Punjabi in Lahore,Pakistan","male"
"HG01589","PJL","Punjabi in Lahore,Pakistan","male"
